Année,Juridiction,Secteur,Employé(e)s
2008,Nouvelle-Écosse,Activités de soutien à la foresterie,356
2008,Nouvelle-Écosse,Fabrication de produits en bois,2262
2008,Nunavut,Foresterie et exploitation forestière,0
2008,Nunavut,Fabrication du papier,0
2008,Nunavut,Activités de soutien à la foresterie,0
2008,Nunavut,Fabrication de produits en bois,0
2008,Ontario,Foresterie et exploitation forestière,4527
2008,Ontario,Fabrication du papier,24948
2008,Ontario,Activités de soutien à la foresterie,1017
2008,Ontario,Fabrication de produits en bois,21088
2008,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2008,Île-du-Prince-Édouard,Fabrication du papier,0
2008,Île-du-Prince-Édouard,Activités de soutien à la foresterie,28
2008,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2008,Québec,Foresterie et exploitation forestière,10142
2008,Québec,Fabrication du papier,26455
2008,Québec,Activités de soutien à la foresterie,3305
2008,Québec,Fabrication de produits en bois,33962
2008,Saskatchewan,Foresterie et exploitation forestière,376
2008,Saskatchewan,Fabrication du papier,0
2008,Saskatchewan,Activités de soutien à la foresterie,166
2008,Saskatchewan,Fabrication de produits en bois,1680
2008,Yukon,Foresterie et exploitation forestière,0
2008,Yukon,Fabrication du papier,0
2008,Yukon,Activités de soutien à la foresterie,0
2008,Yukon,Fabrication de produits en bois,0
2009,Canada,Foresterie et exploitation forestière,28392
2009,Canada,Fabrication du papier,66602
2009,Canada,Activités de soutien à la foresterie,11114
2009,Canada,Fabrication de produits en bois,90708
2009,Alberta,Foresterie et exploitation forestière,2068
2009,Alberta,Fabrication du papier,3075
2009,Alberta,Activités de soutien à la foresterie,1190
2009,Alberta,Fabrication de produits en bois,9273
2009,Colombie-Britannique,Foresterie et exploitation forestière,9505
2009,Colombie-Britannique,Fabrication du papier,8664
2009,Colombie-Britannique,Activités de soutien à la foresterie,3894
2009,Colombie-Britannique,Fabrication de produits en bois,24786
2009,Manitoba,Foresterie et exploitation forestière,0
2009,Manitoba,Fabrication du papier,1088
2009,Manitoba,Activités de soutien à la foresterie,0
2009,Manitoba,Fabrication de produits en bois,3130
2009,Nouveau-Brunswick,Foresterie et exploitation forestière,0
2009,Nouveau-Brunswick,Fabrication du papier,2698
2009,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2009,Nouveau-Brunswick,Fabrication de produits en bois,4036
2009,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,0
2009,Terre-Neuve-et-Labrador,Fabrication du papier,0
2009,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,0
2009,Terre-Neuve-et-Labrador,Fabrication de produits en bois,388
2009,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2009,Territoires du Nord-Ouest,Fabrication du papier,0
2009,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2009,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2009,Nouvelle-Écosse,Foresterie et exploitation forestière,1014
2009,Nouvelle-Écosse,Fabrication du papier,2154
2009,Nouvelle-Écosse,Activités de soutien à la foresterie,355
2009,Nouvelle-Écosse,Fabrication de produits en bois,2031
2009,Nunavut,Foresterie et exploitation forestière,0
2009,Nunavut,Fabrication du papier,0
2009,Nunavut,Activités de soutien à la foresterie,0
2009,Nunavut,Fabrication de produits en bois,0
2009,Ontario,Foresterie et exploitation forestière,3422
2009,Ontario,Fabrication du papier,20410
2009,Ontario,Activités de soutien à la foresterie,983
2009,Ontario,Fabrication de produits en bois,15930
2009,Île-du-Prince-Édouard,Foresterie et exploitation forestière,28
2009,Île-du-Prince-Édouard,Fabrication du papier,0
2009,Île-du-Prince-Édouard,Activités de soutien à la foresterie,35
2009,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2009,Québec,Foresterie et exploitation forestière,9037
2009,Québec,Fabrication du papier,27354
2009,Québec,Activités de soutien à la foresterie,3251
2009,Québec,Fabrication de produits en bois,29690
2009,Saskatchewan,Foresterie et exploitation forestière,0
2009,Saskatchewan,Fabrication du papier,0
2009,Saskatchewan,Activités de soutien à la foresterie,0
2009,Saskatchewan,Fabrication de produits en bois,1215
2009,Yukon,Foresterie et exploitation forestière,0
2009,Yukon,Fabrication du papier,0
2009,Yukon,Activités de soutien à la foresterie,0
2009,Yukon,Fabrication de produits en bois,0
2010,Canada,Foresterie et exploitation forestière,28648
2010,Canada,Fabrication du papier,62988
2010,Canada,Activités de soutien à la foresterie,11226
2010,Canada,Fabrication de produits en bois,90198
2010,Alberta,Foresterie et exploitation forestière,2249
2010,Alberta,Fabrication du papier,2957
2010,Alberta,Activités de soutien à la foresterie,1289
2010,Alberta,Fabrication de produits en bois,9268
2010,Colombie-Britannique,Foresterie et exploitation forestière,10585
2010,Colombie-Britannique,Fabrication du papier,7638
2010,Colombie-Britannique,Activités de soutien à la foresterie,3662
2010,Colombie-Britannique,Fabrication de produits en bois,24375
2010,Manitoba,Foresterie et exploitation forestière,0
2010,Manitoba,Fabrication du papier,1066
2010,Manitoba,Activités de soutien à la foresterie,0
2010,Manitoba,Fabrication de produits en bois,2473
2010,Nouveau-Brunswick,Foresterie et exploitation forestière,2331
2010,Nouveau-Brunswick,Fabrication du papier,2992
2010,Nouveau-Brunswick,Activités de soutien à la foresterie,594
2010,Nouveau-Brunswick,Fabrication de produits en bois,4872
2010,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,463
