Year,Jurisdiction,Sector,Employees
2011,Yukon,Forestry and logging,0
2011,Yukon,Paper manufacturing,0
2011,Yukon,Support activities for forestry,0
2011,Yukon,Wood product manufacturing,0
2012,Canada,Forestry and logging,28432
2012,Canada,Paper manufacturing,57839
2012,Canada,Support activities for forestry,10946
2012,Canada,Wood product manufacturing,90879
2012,Alberta,Forestry and logging,2549
2012,Alberta,Paper manufacturing,2758
2012,Alberta,Support activities for forestry,1155
2012,Alberta,Wood product manufacturing,12130
2012,British Columbia,Forestry and logging,11345
2012,British Columbia,Paper manufacturing,7788
2012,British Columbia,Support activities for forestry,3643
2012,British Columbia,Wood product manufacturing,24679
2012,Manitoba,Forestry and logging,0
2012,Manitoba,Paper manufacturing,1011
2012,Manitoba,Support activities for forestry,0
2012,Manitoba,Wood product manufacturing,2446
2012,New Brunswick,Forestry and logging,1950
2012,New Brunswick,Paper manufacturing,2590
2012,New Brunswick,Support activities for forestry,601
2012,New Brunswick,Wood product manufacturing,3848
2012,Newfoundland and Labrador,Forestry and logging,376
2012,Newfoundland and Labrador,Paper manufacturing,0
2012,Newfoundland and Labrador,Support activities for forestry,414
2012,Newfoundland and Labrador,Wood product manufacturing,392
2012,Northwest Territories,Forestry and logging,0
2012,Northwest Territories,Paper manufacturing,0
2012,Northwest Territories,Support activities for forestry,0
2012,Northwest Territories,Wood product manufacturing,0
2012,Nova Scotia,Forestry and logging,742
2012,Nova Scotia,Paper manufacturing,1285
2012,Nova Scotia,Support activities for forestry,278
2012,Nova Scotia,Wood product manufacturing,1857
2012,Nunavut,Forestry and logging,0
2012,Nunavut,Paper manufacturing,0
2012,Nunavut,Support activities for forestry,0
2012,Nunavut,Wood product manufacturing,0
2012,Ontario,Forestry and logging,3343
